Etc/GMT+12(GMT -12:00) Etc/GMT+12
 Australia/Brisbane(GMT +10:00) Australia/Brisbane
 Asia/Vladivostok(GMT +10:00) Asia/Vladivostok
 Asia/Magadan(GMT +10:00) Asia/Magadan
 Pacific/Chuuk(GMT +10:00) Pacific/Chuuk
 Australia/Lindeman(GMT +10:00) Australia/Lindeman
 Australia/Queensland(GMT +10:00) Australia/Queensland
 Pacific/Guam(GMT +10:00) Pacific/Guam
 Pacific/Port_Moresby(GMT +10:00) Pacific/Port_Moresby
 Etc/GMT-10(GMT +10:00) Etc/GMT-10
 Pacific/Saipan(GMT +10:00) Pacific/Saipan
 Antarctica/DumontDUrville(GMT +10:00) Antarctica/DumontDUrville
 Asia/Sakhalin(GMT +10:00) Asia/Sakhalin
 Australia/Yancowinna(GMT +10:30) Australia/Yancowinna
 Australia/Broken_Hill(GMT +10:30) Australia/Broken_Hill
 Australia/Adelaide(GMT +10:30) Australia/Adelaide
 Australia/South(GMT +10:30) Australia/South
 Etc/GMT-11(GMT +11:00) Etc/GMT-11
 Australia/LHI(GMT +11:00) Australia/LHI
 Australia/Hobart(GMT +11:00) Australia/Hobart
 Australia/Currie(GMT +11:00) Australia/Currie
 Australia/Victoria(GMT +11:00) Australia/Victoria
 Pacific/Noumea(GMT +11:00) Pacific/Noumea
 Australia/NSW(GMT +11:00) Australia/NSW
 Asia/Srednekolymsk(GMT +11:00) Asia/Srednekolymsk
 Australia/Tasmania(GMT +11:00) Australia/Tasmania
 Pacific/Pohnpei(GMT +11:00) Pacific/Pohnpei
 Pacific/Ponape(GMT +11:00) Pacific/Ponape
 Australia/Sydney(GMT +11:00) Australia/Sydney
 Pacific/Guadalcanal(GMT +11:00) Pacific/Guadalcanal
 Australia/Canberra(GMT +11:00) Australia/Canberra
 Australia/ACT(GMT +11:00) Australia/ACT
 Antarctica/Macquarie(GMT +11:00) Antarctica/Macquarie
 Australia/Melbourne(GMT +11:00) Australia/Melbourne
 Pacific/Kosrae(GMT +11:00) Pacific/Kosrae
 Pacific/Bougainville(GMT +11:00) Pacific/Bougainville
 Australia/Lord_Howe(GMT +11:00) Australia/Lord_Howe
 Pacific/Efate(GMT +11:00) Pacific/Efate
 Pacific/Norfolk(GMT +11:30) Pacific/Norfolk
 Asia/Kamchatka(GMT +12:00) Asia/Kamchatka
 Pacific/Tarawa(GMT +12:00) Pacific/Tarawa
 Pacific/Wallis(GMT +12:00) Pacific/Wallis
 Pacific/Nauru(GMT +12:00) Pacific/Nauru
 Pacific/Majuro(GMT +12:00) Pacific/Majuro
 Pacific/Kwajalein(GMT +12:00) Pacific/Kwajalein
 Etc/GMT-12(GMT +12:00) Etc/GMT-12
 Pacific/Funafuti(GMT +12:00) Pacific/Funafuti
 Asia/Anadyr(GMT +12:00) Asia/Anadyr
 Kwajalein(GMT +12:00) Kwajalein
 Pacific/Wake(GMT +12:00) Pacific/Wake
 Antarctica/McMurdo(GMT +13:00) Antarctica/McMurdo
 Pacific/Enderbury(GMT +13:00) Pacific/Enderbury
 Pacific/Tongatapu(GMT +13:00) Pacific/Tongatapu
 Pacific/Fiji(GMT +13:00) Pacific/Fiji
 NZ(GMT +13:00) NZ
 Pacific/Fakaofo(GMT +13:00) Pacific/Fakaofo
 Etc/GMT-13(GMT +13:00) Etc/GMT-13
 Pacific/Auckland(GMT +13:00) Pacific/Auckland
 Antarctica/South_Pole(GMT +13:00) Antarctica/South_Pole
 NZ-CHAT(GMT +13:45) NZ-CHAT
 Pacific/Chatham(GMT +13:45) Pacific/Chatham
 Etc/GMT-14(GMT +14:00) Etc/GMT-14
 Pacific/Kiritimati(GMT +14:00) Pacific/Kiritimati
 Pacific/Apia(GMT +14:00) Pacific/Apia
